arfcn;name;uplink;downlink
769;GSM-1900;1901.6;1981.6
770;GSM-1900;1901.8;1981.8
771;GSM-1900;1902;1982
772;GSM-1900;1902.2;1982.2
773;GSM-1900;1902.4;1982.4
774;GSM-1900;1902.6;1982.6
775;GSM-1900;1902.8;1982.8
776;GSM-1900;1903;1983
777;GSM-1900;1903.2;1983.2
778;GSM-1900;1903.4;1983.4
779;GSM-1900;1903.6;1983.6
780;GSM-1900;1903.8;1983.8
781;GSM-1900;1904;1984
782;GSM-1900;1904.2;1984.2
783;GSM-1900;1904.4;1984.4
784;GSM-1900;1904.6;1984.6
785;GSM-1900;1904.8;1984.8
786;GSM-1900;1905;1985
787;GSM-1900;1905.2;1985.2
788;GSM-1900;1905.4;1985.4
789;GSM-1900;1905.6;1985.6
790;GSM-1900;1905.8;1985.8
791;GSM-1900;1906;1986
792;GSM-1900;1906.2;1986.2
793;GSM-1900;1906.4;1986.4
794;GSM-1900;1906.6;1986.6
795;GSM-1900;1906.8;1986.8
796;GSM-1900;1907;1987
797;GSM-1900;1907.2;1987.2
798;GSM-1900;1907.4;1987.4
799;GSM-1900;1907.6;1987.6
800;GSM-1900;1907.8;1987.8
801;GSM-1900;1908;1988
802;GSM-1900;1908.2;1988.2
803;GSM-1900;1908.4;1988.4
804;GSM-1900;1908.6;1988.6
805;GSM-1900;1908.8;1988.8
806;GSM-1900;1909;1989
807;GSM-1900;1909.2;1989.2
808;GSM-1900;1909.4;1989.4
809;GSM-1900;1909.6;1989.6
810;GSM-1900;1909.8;1989.8
811;GSM-1800;1770;1865
812;GSM-1800;1770.2;1865.2
813;GSM-1800;1770.4;1865.4
814;GSM-1800;1770.6;1865.6
815;GSM-1800;1770.8;1865.8
816;GSM-1800;1771;1866
817;GSM-1800;1771.2;1866.2
818;GSM-1800;1771.4;1866.4
819;GSM-1800;1771.6;1866.6
820;GSM-1800;1771.8;1866.8
821;GSM-1800;1772;1867
822;GSM-1800;1772.2;1867.2
823;GSM-1800;1772.4;1867.4
824;GSM-1800;1772.6;1867.6
825;GSM-1800;1772.8;1867.8
826;GSM-1800;1773;1868
827;GSM-1800;1773.2;1868.2
828;GSM-1800;1773.4;1868.4
829;GSM-1800;1773.6;1868.6
830;GSM-1800;1773.8;1868.8
831;GSM-1800;1774;1869
832;GSM-1800;1774.2;1869.2
833;GSM-1800;1774.4;1869.4
834;GSM-1800;1774.6;1869.6
835;GSM-1800;1774.8;1869.8
836;GSM-1800;1775;1870
837;GSM-1800;1775.2;1870.2
838;GSM-1800;1775.4;1870.4
839;GSM-1800;1775.6;1870.6
840;GSM-1800;1775.8;1870.8
841;GSM-1800;1776;1871
842;GSM-1800;1776.2;1871.2
843;GSM-1800;1776.4;1871.4
844;GSM-1800;1776.6;1871.6
845;GSM-1800;1776.8;1871.8
846;GSM-1800;1777;1872
847;GSM-1800;1777.2;1872.2
848;GSM-1800;1777.4;1872.4
849;GSM-1800;1777.6;1872.6
850;GSM-1800;1777.8;1872.8
851;GSM-1800;1778;1873
852;GSM-1800;1778.2;1873.2
853;GSM-1800;1778.4;1873.4
854;GSM-1800;1778.6;1873.6
855;GSM-1800;1778.8;1873.8
856;GSM-1800;1779;1874
857;GSM-1800;1779.2;1874.2
858;GSM-1800;1779.4;1874.4
859;GSM-1800;1779.6;1874.6
860;GSM-1800;1779.8;1874.8
861;GSM-1800;1780;1875
862;GSM-1800;1780.2;1875.2
863;GSM-1800;1780.4;1875.4
864;GSM-1800;1780.6;1875.6
865;GSM-1800;1780.8;1875.8
866;GSM-1800;1781;1876
867;GSM-1800;1781.2;1876.2
868;GSM-1800;1781.4;1876.4
869;GSM-1800;1781.6;1876.6
870;GSM-1800;1781.8;1876.8
871;GSM-1800;1782;1877
872;GSM-1800;1782.2;1877.2
873;GSM-1800;1782.4;1877.4
874;GSM-1800;1782.6;1877.6
875;GSM-1800;1782.8;1877.8
876;GSM-1800;1783;1878
877;GSM-1800;1783.2;1878.2
878;GSM-1800;1783.4;1878.4
879;GSM-1800;1783.6;1878.6
